id,title,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel
246,Web Development Tools the Pros Use: Code Productivity Hacks,TRUE,30,2596,11,39,Beginner Level
247,WordPress : An Overview,TRUE,45,1783,16,15,Beginner Level
248,Create Startup Landing Page with Viral Marketing Strategies,FALSE,0,12974,120,13,Beginner Level
249,JavaScript : JavaScript Awesomeness,TRUE,25,785,20,25,Beginner Level
250,Mastering CSS 3.0 Selectors,FALSE,0,4115,63,13,Intermediate Level
251,WordPress Backup And Restore Fundamentals,FALSE,0,13242,131,24,Intermediate Level
252,Learn HTML and CSS to make a Website,TRUE,20,1154,12,71,Beginner Level
253,1 Hour HTML,TRUE,200,16212,514,20,Beginner Level
254,Angular 2 Crash Course with TypeScript,TRUE,100,16409,589,74,All Levels
255,Boost your website speed without any coding!,TRUE,50,1337,28,12,All Levels
256,Professional Rails Code Along,TRUE,40,1469,237,120,Intermediate Level
257,ASP.NET Web API 2 Hands-On,TRUE,20,2660,276,16,All Levels
258,Create a MEAN App by Example - Full Stack Course,TRUE,50,421,26,33,Intermediate Level
259,The Original Complete Web Developer Course.,TRUE,20,31070,742,195,Beginner Level
260,Angular 2 From The Ground Up,TRUE,30,1737,471,87,All Levels
261,Complete Web Development Course + Building 5 Websites!,TRUE,200,11492,174,118,All Levels
262,WP Plugin Development - Build your own plugin!,TRUE,200,5439,22,24,Beginner Level
263,Sass: From Beginner to Advanced,TRUE,40,8059,231,39,All Levels
264,Build Flat Responsive Website from Scratch - Complete Course,TRUE,35,12105,144,54,All Levels
265,Wordpress for Beginners - Build a Live Website from Scratch,TRUE,20,3877,92,15,Beginner Level
266,"Essential JavaScript, jQuery and AngularJS Training",TRUE,30,2919,136,70,Intermediate Level
267,The Pro Ruby on Rails Starter,TRUE,45,2409,90,19,Beginner Level
268,Unit Testing AngularJS: Build Bugfree Apps That Always Work!,TRUE,25,2083,213,23,All Levels
269,WordPress Blog : Create a WordPress Website for Beginners,TRUE,20,2076,8,20,Beginner Level
270,Introduction to HTML5 Canvas basics of drawing,TRUE,200,2918,16,17,Beginner Level
271,"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",TRUE,200,842,144,536,All Levels
272,Kids Coding - Beginners CSS,TRUE,100,7130,30,17,All Levels
273,PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,TRUE,50,5549,92,143,All Levels
274,Learning Path: Magento: Master and Test Magento 2 with Ease,TRUE,200,155,9,37,Expert Level
275,The Complete hapiJS Course - Go From Beginner To Advanced!,TRUE,195,1697,64,54,All Levels
276,Ruby On Rails For Web Development,TRUE,195,2526,185,24,Beginner Level
